,train_ds,classifier,setting,balac_fall
0,AVA,logistic,TI,4.87
1,AVA,kneighbours-5,TI,1.4
2,AVA,kneighbours-9,TI,0.46
3,AVA,kneighbours-19,TI,-0.2
4,AVA,naivebayes,TI,10.08
5,AVA,rf,TI,6.15
6,AVA,svm,TI,23.55
7,AADB,logistic,TI,20.26
8,AADB,kneighbours-5,TI,20.68
9,AADB,kneighbours-9,TI,21.89
10,AADB,kneighbours-19,TI,20.22
11,AADB,naivebayes,TI,-11.31
12,AADB,rf,TI,20.57
13,AADB,svm,TI,7.44
0,AVA,logistic,PI,0.77
1,AVA,kneighbours-5,PI,2.02
2,AVA,kneighbours-9,PI,2.05
3,AVA,kneighbours-19,PI,2.92
4,AVA,naivebayes,PI,2.14
5,AVA,rf,PI,1.12
6,AVA,svm,PI,0.8
7,AADB,logistic,PI,-12.12
8,AADB,kneighbours-5,PI,-17.51
9,AADB,kneighbours-9,PI,-17.2
10,AADB,kneighbours-19,PI,-16.46
11,AADB,naivebayes,PI,-7.8
12,AADB,rf,PI,-18.0
13,AADB,svm,PI,-13.62
0,AVA,logistic,PU,10.37
1,AVA,kneighbours-5,PU,4.69
2,AVA,kneighbours-9,PU,4.9
3,AVA,kneighbours-19,PU,7.02
4,AVA,naivebayes,PU,2.65
5,AVA,rf,PU,1.03
6,AVA,svm,PU,10.22
7,AADB,logistic,PU,5.89
8,AADB,kneighbours-5,PU,10.26
9,AADB,kneighbours-9,PU,4.13
10,AADB,kneighbours-19,PU,4.98
11,AADB,naivebayes,PU,-12.1
12,AADB,rf,PU,11.43
13,AADB,svm,PU,4.95
