,extractor,quantile,balanced_accuracy,accuracy,f1
0,"[8, 16, 16, 32]",5.386517,0.4886567930387764,0.6516869333646635,0.7813936340174512
1,"[8, 16, 32, 64, 64]",5.386517,0.4878295035150194,0.6505120523213691,0.7804944041323331
2,"[8, 16, 32, 64, 64, 128]",5.386517,0.4888657936247182,0.6450880181714934,0.7749761009100278
3,"[8, 16, 16, 32]",5.475771,0.4898407689864165,0.6468699210871566,0.7764361688939578
4,"[8, 16, 32, 64, 64]",5.475771,0.4868395880323908,0.6439131371281991,0.7743992457230762
5,"[8, 16, 32, 64, 64, 128]",5.475771,0.4882431473456431,0.6385282656797666,0.7687064601814263
6,"[8, 16, 16, 32]",5.566116,0.4926876652309114,0.6427970001370694,0.7716496006809704
7,"[8, 16, 32, 64, 64]",5.566116,0.487493638086197,0.6389394740449196,0.7693308480428337
8,"[8, 16, 32, 64, 64, 128]",5.566116,0.4898499809590054,0.6349644598484403,0.7646746951450427
9,"[8, 16, 16, 32]",5.660284,0.4895717900031278,0.6336329279993734,0.7634161145111527
10,"[8, 16, 32, 64, 64]",5.660284,0.4869782779488594,0.6318510250837103,0.7623946314153197
11,"[8, 16, 32, 64, 64, 128]",5.660284,0.4872860055135724,0.6257612250093011,0.7560876001837766
12,"[8, 16, 16, 32]",5.758871,0.4886745008490045,0.6242142983022969,0.7540529803021955
13,"[8, 16, 32, 64, 64]",5.758871,0.4840012490883527,0.6218057921635435,0.7530305355224797
14,"[8, 16, 32, 64, 64, 128]",5.758871,0.4876485122800232,0.6205721670680844,0.7505824505399735
15,"[8, 16, 16, 32]",5.865385,0.4886253548076173,0.6182419863322172,0.7478139390489988
16,"[8, 16, 32, 64, 64]",5.865385,0.4825719489608741,0.6157747361412991,0.7471847862499035
17,"[8, 16, 32, 64, 64, 128]",5.865385,0.4864084179862271,0.6138166010691417,0.7438435162094763
18,"[8, 16, 16, 32]",5.987416,0.4852851961711913,0.6063756877949441,0.7361942257217847
19,"[8, 16, 32, 64, 64]",5.987416,0.4817995624957448,0.6068456402122618,0.7379056470772525
20,"[8, 16, 32, 64, 64, 128]",5.987416,0.4845909950662157,0.6054749456617518,0.735451680672269
21,"[8, 16, 16, 32]",6.129032,0.4822563141115623,0.5994634709902289,0.7296565031785682
22,"[8, 16, 32, 64, 64]",6.129032,0.478829599065488,0.5990522626250758,0.7304228764021276
23,"[8, 16, 32, 64, 64, 128]",6.129032,0.4818852165194814,0.5984256594019856,0.7286368327731759
24,"[8, 16, 16, 32]",6.307692,0.481464226019655,0.5930603693042746,0.7227735979937037
25,"[8, 16, 32, 64, 64]",6.307692,0.4771325035795851,0.5918463255595371,0.7230033222591363
26,"[8, 16, 32, 64, 64, 128]",6.307692,0.4801911401616753,0.5919050696117019,0.7219383330442555
27,"[8, 16, 16, 32]",6.574194,0.47899057390958,0.584013785270908,0.7133527633851466
28,"[8, 16, 32, 64, 64]",6.574194,0.4750032443986355,0.5860698270966731,0.7172456227177272
29,"[8, 16, 32, 64, 64, 128]",6.574194,0.4780199875518052,0.5882825197282109,0.718632908682154
30,"[8, 16, 16, 32]",7.069421,0.475328618310759,0.5631204840509898,0.6898622444015068
31,"[8, 16, 32, 64, 64]",7.069421,0.4697899188604761,0.5660381053085042,0.6957775093345048
32,"[8, 16, 32, 64, 64, 128]",7.069421,0.4745701149923498,0.5760050128257848,0.7057256628749269
